osm_id,code,fclass,name,point_x,point_y,lon,lat
358785828,2082,school,Harvest Baptist School,-84.6506000000,34.1019000000,-84.6506,34.1019
358777708,2082,school,Free Home Elementary School,-84.2896444000,34.2392617000,-84.28964,34.23926
358681802,2082,school,Bunche School,-84.4885396000,34.2598171000,-84.48854,34.25982
358692886,2082,school,Mountainbrook School,-84.5496523000,34.3167604000,-84.54965,34.31676
358707252,2082,school,Union Hill School,-84.3588136000,34.1964849000,-84.35881,34.19648
358719513,2082,school,Tippens School,-84.4852063000,34.2506507000,-84.48521,34.25065
358719564,2082,school,Teasley Middle School,-84.5204855000,34.2159292000,-84.52049,34.21593
358762849,2082,school,Clayton School,-84.4888170000,34.3317601000,-84.48882,34.33176
358777650,2082,school,Buffington Elementary School,-84.4154819000,34.2400952000,-84.41548,34.2401
358777725,2082,school,Holly Springs Elementary School,-84.5040965000,34.1773189000,-84.5041,34.17732
358777731,2082,school,Johnston Elementary School,-84.4932633000,34.1312088000,-84.49326,34.13121
358777781,2013,nursing_home,Brian Center Health & Rehabilitation/Canton,-84.4797156000,34.2320459000,-84.47972,34.23205
358785646,2082,school,Bascomb Elementary School,-84.5837000000,34.1414000000,-84.5837,34.1414
358785648,2082,school,Rehobeth Christian Academy,-84.5049000000,34.1899000000,-84.5049,34.1899
358785651,2082,school,Sixes Elementary School,-84.5552000000,34.1737000000,-84.5552,34.1737
358785799,2082,school,Ralph Bunche Center,-84.4893000000,34.2601000000,-84.4893,34.2601
358785936,2082,school,Mountain Road Elementary School,-84.4031000000,34.1408000000,-84.4031,34.1408
470063817,2501,supermarket,Kroger,-84.3581277000,34.2525240000,-84.35813,34.25252
915101331,2501,supermarket,Publix,-84.4181949000,34.1779825000,-84.41819,34.17798
2408051076,2082,school,CherokeeCharterSchool,-84.5353046000,34.1612365000,-84.5353,34.16124
2408215926,2082,school,LibertyElementary,-84.5359885000,34.1925601000,-84.53599,34.19256
2408216450,2082,school,FreedomMiddleSchool,-84.5341860000,34.1939356000,-84.53419,34.19394
2408221509,2501,supermarket,Publix,-84.5489542000,34.1789191000,-84.54895,34.17892
2408225058,2303,cafe,Starbucks,-84.5478224000,34.1716938000,-84.54782,34.17169
2408235769,2501,supermarket,Kroger,-84.5037590000,34.1415702000,-84.50376,34.14157
5315596674,2501,supermarket,Walmart Supercenter,-84.5044200000,34.1853970000,-84.50442,34.1854
5315597780,2501,supermarket,Walmart Supercenter,-84.4611780000,34.2554160000,-84.46118,34.25542
5796361695,2303,cafe,Starbucks,-84.5124542000,34.1442849000,-84.51245,34.14428
7003596625,2501,supermarket,Publix,-84.4756435000,34.2527951000,-84.47564,34.2528
7003622611,2501,supermarket,Kroger,-84.5072779000,34.1929786000,-84.50728,34.19298
358777817,2082,school,Chattahoochee Technical College,-84.5174310000,34.1039872000,-84.51743,34.10399
358785081,2082,school,Arnold Mill Elementary School,-84.4389000000,34.1099000000,-84.4389,34.1099
358785088,2082,school,Cherokee Christian School,-84.4706000000,34.1202000000,-84.4706,34.1202
358785092,2082,school,Cherokee Christian School,-84.4973520000,34.0856160000,-84.49735,34.08562
2301659651,2501,supermarket,Aldi,-84.4693577000,34.0882322000,-84.46936,34.08823
3927388168,2082,school,Mill Creek Middle School,-84.4787475000,34.1176664000,-84.47875,34.11767
3927388169,2082,school,River Ridge High School,-84.4810192000,34.1159111000,-84.48102,34.11591
5315596706,2501,supermarket,Walmart Supercenter,-84.4812310000,34.0841650000,-84.48123,34.08416
6238896789,2303,cafe,Copper Coin Coffee,-84.5189821000,34.0997704000,-84.51898,34.09977
358696791,2082,school,Oak Grove School,-84.6116001000,34.0962098000,-84.6116,34.09621
358718815,2082,school,Etowah East Annex,-84.5606037000,34.1138337000,-84.5606,34.11383
358718827,2082,school,ET Booth Middle School,-84.5618764000,34.1164871000,-84.56188,34.11649
358718842,2082,school,Etowah High School,-84.5643280000,34.1159955000,-84.56433,34.116
3736119181,2501,supermarket,Walmart Supercenter,-84.5844805000,34.1128128000,-84.58448,34.11281
3906572119,2501,supermarket,Kroger,-84.5852735000,34.0903165000,-84.58527,34.09032
4997265448,2501,supermarket,Food Depot,-84.5742366000,34.0861972000,-84.57424,34.0862
6484382798,2501,supermarket,Super Mercado La Villa,-84.5866441000,34.0878699000,-84.58664,34.08787
6484452437,2303,cafe,La Villa Panaderia,-84.5804175000,34.0891207000,-84.58042,34.08912
6510990468,2303,cafe,Atlanta Bread Woodstock,-84.5445874000,34.0842886000,-84.54459,34.08429
