provider,lat,lon,num_stops_per_week,score
Cherokee Area Transportation System (CATS),34.23477,-84.49039,28,4
Cherokee Area Transportation System (CATS),34.23239,-84.49104,7,1
Cherokee Area Transportation System (CATS),34.23132,-84.4904,7,1
Cherokee Area Transportation System (CATS),34.23188,-84.48535,7,1
Cherokee Area Transportation System (CATS),34.23462,-84.48595,7,1
Cherokee Area Transportation System (CATS),34.23817,-84.48426,7,1
Cherokee Area Transportation System (CATS),34.2352,-84.4847,7,1
Cherokee Area Transportation System (CATS),34.23233,-84.48259,7,1
Cherokee Area Transportation System (CATS),34.2333,-84.48217,7,1
Cherokee Area Transportation System (CATS),34.23665,-84.48111,7,1
Cherokee Area Transportation System (CATS),34.23751,-84.46924,7,1
Cherokee Area Transportation System (CATS),34.24206,-84.47338,7,1
Cherokee Area Transportation System (CATS),34.24,-84.47127,7,1
Cherokee Area Transportation System (CATS),34.25611,-84.46155,14,2
Cherokee Area Transportation System (CATS),34.22352,-84.50248,7,1
Cherokee Area Transportation System (CATS),34.21301,-84.50453,7,1
Cherokee Area Transportation System (CATS),34.19826,-84.50883,7,1
Cherokee Area Transportation System (CATS),34.19131,-84.51004,7,1
Cherokee Area Transportation System (CATS),34.19281,-84.50733,7,1
Cherokee Area Transportation System (CATS),34.1933,-84.49306,7,1
Cherokee Area Transportation System (CATS),34.21031,-84.50446,7,1
Cherokee Area Transportation System (CATS),34.22412,-84.49406,7,1
Cherokee Area Transportation System (CATS),34.22689,-84.49275,7,1
Cherokee Area Transportation System (CATS),34.24483,-84.48678,7,1
Cherokee Area Transportation System (CATS),34.2372,-84.4887,7,1
Cherokee Area Transportation System (CATS),34.2374,-84.49091,7,1
Cherokee Area Transportation System (CATS),34.24263,-84.4925,7,1
Cherokee Area Transportation System (CATS),34.24284,-84.49148,7,1
Cherokee Area Transportation System (CATS),34.24685,-84.48782,7,1
Cherokee Area Transportation System (CATS),34.24744,-84.48982,7,1
Cherokee Area Transportation System (CATS),34.25124,-84.48899,7,1
Cherokee Area Transportation System (CATS),34.25329,-84.48798,7,1
Cherokee Area Transportation System (CATS),34.25205,-84.49127,7,1
Cherokee Area Transportation System (CATS),34.24599,-84.49038,7,1
Cherokee Area Transportation System (CATS),34.24825,-84.49179,7,1
Cherokee Area Transportation System (CATS),34.25279,-84.49375,7,1
Cherokee Area Transportation System (CATS),34.25686,-84.494,7,1
Cherokee Area Transportation System (CATS),34.25758,-84.48895,7,1
Cherokee Area Transportation System (CATS),34.25207,-84.47679,7,1
Cherokee Area Transportation System (CATS),34.25264,-84.47575,7,1
Cherokee Area Transportation System (CATS),34.22864,-84.49134,7,1
Cherokee Area Transportation System (CATS),34.22144,-84.4684,7,1
Cherokee Area Transportation System (CATS),34.22037,-84.46345,7,1
Cherokee Area Transportation System (CATS),34.22384,-84.47539,7,1
Cherokee Area Transportation System (CATS),34.23665,-84.48979,7,1
Cherokee Area Transportation System (CATS),34.23725,-84.46098,7,1
Cherokee Area Transportation System (CATS),34.23617,-84.45836,7,1
Cherokee Area Transportation System (CATS),34.22288,-84.48375,7,1
Cherokee Area Transportation System (CATS),34.25417,-84.47906,7,1
Cherokee Area Transportation System (CATS),34.25146,-84.47747,7,1
Cherokee Area Transportation System (CATS),34.20796,-84.50611,7,1
Cherokee Area Transportation System (CATS),34.24475,-84.48646,7,1
Cherokee Area Transportation System (CATS),34.24281,-84.49589,7,1
Cherokee Area Transportation System (CATS),34.23465,-84.49996,7,1
Cherokee Area Transportation System (CATS),34.24842,-84.47853,7,1
Cherokee Area Transportation System (CATS),34.25354,-84.47006,7,1
