lat,lon
33.7024,-84.1495
33.69538,-84.34942
33.70189,-84.14767
33.70132,-84.17004
33.70596,-84.14027
33.70508,-84.16966
33.70749,-84.16875
33.70909,-84.1686
33.70943,-84.17595
33.70906,-84.17039
33.70876,-84.16869
33.70713,-84.16926
33.70931,-84.17375
33.70536,-84.16994
33.70241,-84.14989
33.70564,-84.14278
33.78088,-84.16142
33.77173,-84.16307
33.741,-84.19596
33.73029,-84.19318
33.72818,-84.18907
33.72757,-84.18806
33.72837,-84.1888
33.73758,-84.19437
33.73761,-84.19411
33.75311,-84.19732
33.74068,-84.1954
33.74792,-84.19668
33.74794,-84.19714
33.75262,-84.19688
33.73207,-84.19399
33.75457,-84.19743
33.73133,-84.19449
33.73125,-84.19391
33.73268,-84.2037
33.74733,-84.32243
33.85117,-84.24742
33.84963,-84.24466
33.85101,-84.24492
33.84577,-84.21341
33.86611,-84.21794
33.86332,-84.21828
33.84933,-84.21337
33.86943,-84.21711
33.86889,-84.21742
33.86626,-84.2181
33.8608,-84.21909
33.85098,-84.25865
33.84734,-84.24454
33.85076,-84.24455
33.85145,-84.24948
33.85131,-84.24927
33.85142,-84.25187
33.85218,-84.25891
33.8508,-84.25863
33.84973,-84.25865
33.84342,-84.2567
33.8515,-84.25142
33.85217,-84.25378
33.85249,-84.25698
33.84794,-84.24474
33.86348,-84.30951
33.8611,-84.30994
33.86005,-84.31071
33.86837,-84.3002
33.87096,-84.3093
33.87158,-84.30834
33.87123,-84.30969
33.85668,-84.21784
33.87291,-84.21711
33.85587,-84.21739
33.85378,-84.21464
33.85763,-84.21802
33.85673,-84.21248
33.85203,-84.20928
33.84622,-84.25547
33.85223,-84.25416
33.85226,-84.25664
33.82687,-84.34796
33.82703,-84.34763
33.82847,-84.34589
33.8324,-84.20372
33.83178,-84.19795
33.82913,-84.19636
33.82552,-84.19919
33.816,-84.18184
33.81545,-84.3063
33.81795,-84.30501
33.83708,-84.31169
33.83385,-84.33988
33.84189,-84.31368
33.83759,-84.33494
33.84003,-84.33184
33.79867,-84.34783
33.799,-84.34667
33.8139,-84.33396
33.78668,-84.1986
33.80503,-84.33495
33.80604,-84.33587
33.80945,-84.33434
33.81502,-84.3408
33.8158,-84.34287
33.79001,-84.32091
33.78747,-84.32855
33.81172,-84.34312
33.8133,-84.34179
33.80585,-84.33584
33.80343,-84.33358
33.8014,-84.33134
33.80063,-84.32876
33.79466,-84.3212
33.78998,-84.3346
33.78918,-84.33296
33.79929,-84.32448
33.8006,-84.32672
33.80076,-84.32874
33.82256,-84.18783
33.82395,-84.19044
33.8254,-84.19337
33.82572,-84.19498
33.78748,-84.3288
33.82084,-84.18647
33.82071,-84.18622
33.83064,-84.30922
33.80106,-84.34266
33.80262,-84.341
33.80351,-84.33988
33.81598,-84.23562
33.81468,-84.2364
33.81331,-84.23724
33.78833,-84.32538
33.81787,-84.19379
33.81522,-84.19376
33.82864,-84.19599
33.83312,-84.19904
33.78865,-84.33174
33.78915,-84.33258
33.7934,-84.32109
33.79049,-84.32099
33.81576,-84.34318
33.84205,-84.32974
33.81476,-84.33652
33.83382,-84.3102
33.82624,-84.25518
33.82809,-84.25049
33.82905,-84.2492
33.83016,-84.24834
33.82872,-84.2501
33.83045,-84.30947
33.83388,-84.31068
33.84219,-84.32947
33.82618,-84.25579
33.79992,-84.3441
33.79906,-84.34666
33.81168,-84.33441
33.79296,-84.28002
33.81562,-84.3349
33.82821,-84.3085
33.81799,-84.30533
33.80358,-84.3335
33.81476,-84.34099
33.83895,-84.33329
33.82888,-84.34574
33.79299,-84.32093
33.79494,-84.32106
33.81343,-84.33366
33.81541,-84.3357
33.81487,-84.33662
33.81415,-84.33884
33.79693,-84.32208
33.79828,-84.32347
33.79076,-84.33812
33.83199,-84.3417
33.8302,-84.34427
33.78545,-84.34102
33.81746,-84.24565
33.78823,-84.32515
33.78826,-84.32333
33.81892,-84.24742
33.82368,-84.25095
33.82224,-84.25035
33.82864,-84.25897
33.81723,-84.34715
33.81504,-84.3412
33.81038,-84.33482
33.8006,-84.32698
33.79977,-84.32555
33.79857,-84.3238
33.80504,-84.33715
33.80692,-84.33562
33.81177,-84.33422
33.8176,-84.21515
33.78834,-84.32359
33.81223,-84.34628
33.81216,-84.3463
33.81213,-84.34449
33.81186,-84.34273
33.81983,-84.30388
33.82455,-84.30696
33.82564,-84.30728
33.83203,-84.34225
33.83638,-84.33688
33.83734,-84.33558
33.79002,-84.33871
33.78865,-84.33184
33.83163,-84.24612
33.83351,-84.24356
33.83368,-84.24358
33.80124,-84.33055
33.81625,-84.18166
33.81872,-84.18417
33.81326,-84.34171
33.81402,-84.33855
33.82584,-84.19628
33.82501,-84.19339
33.7075,-84.2235
33.70751,-84.2258
33.70793,-84.22809
33.70816,-84.2299
33.8257,-84.19884
33.82388,-84.20357
33.82089,-84.20833
33.81914,-84.19345
33.82662,-84.19578
33.78998,-84.33422
33.83256,-84.31034
33.80584,-84.33629
33.81871,-84.22469
33.8186,-84.22469
33.82598,-84.19589
33.83764,-84.31224
33.84196,-84.31396
33.82235,-84.18798
33.81842,-84.22268
33.82087,-84.20818
33.82404,-84.2032
33.81906,-84.21158
33.8304,-84.34358
33.83372,-84.34014
33.78806,-84.27924
33.819,-84.19378
33.83726,-84.20076
33.84095,-84.20086
33.84292,-84.20081
33.81531,-84.24434
33.81816,-84.21321
33.81892,-84.22698
33.81914,-84.22908
33.81868,-84.2325
33.83175,-84.24618
33.82008,-84.2489
33.83148,-84.25852
33.83515,-84.25682
33.82679,-84.257
33.84401,-84.3147
33.81571,-84.30635
33.78853,-84.33932
33.78538,-84.34098
33.80331,-84.3403
33.80169,-84.34232
33.81971,-84.30405
33.82434,-84.30714
33.82655,-84.30781
33.81826,-84.21275
33.81886,-84.21136
33.8199,-84.20966
33.81805,-84.21788
33.8227,-84.19527
