geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
13103030100,103,0.00177,1,1.0,0,0.13632,0,0.06227,0,0.04876,0,0.00165,1,0.12562,0,0.0,1,0.85592,0,0.0638,0,0.0,1,0.02371,0.07356,3212,430.52954,7.46058,0.53457,0.55427,0.52275,0.4436
13103030202,103,0.01886,0,0.98082,0,0.14806,0,0.07088,0,0.11927,0,0.0,1,0.20669,0,0.04407,0,0.72204,0,0.11704,0,0.21331,0,0.1336,0.07761,5235,167.0125,31.34496,0.60405,0.60493,0.61584,0.56764
13103030203,103,0.01414,1,0.97831,0,0.15703,0,0.09174,0,0.07508,0,0.0,1,0.10144,0,0.04153,1,0.80876,0,0.15641,0,0.20227,0,0.17468,0.12023,8690,140.18672,61.98875,0.55366,0.57933,0.30469,0.52831
13103030204,103,0.00081,1,0.94782,0,0.16746,0,0.12308,0,0.12831,0,0.00146,1,0.35796,0,0.00219,1,0.63183,0,0.06581,0,0.14017,0,0.04933,0.05609,3474,113.03256,30.73451,0.59017,0.65771,0.73873,0.50988
13103030301,103,0.01428,1,0.97698,0,0.09672,0,0.04292,0,0.08132,0,0.01251,1,0.0992,0,0.02806,0,0.84004,0,0.09664,0,0.0,1,0.04277,0.1314,4476,71.6762,62.44751,0.50242,0.326,0.36408,0.45672
13103030303,103,0.08197,1,0.9861,0,0.11006,0,0.17678,0,0.09477,0,0.00978,1,0.03046,1,0.15758,1,0.79391,0,0.04779,0,0.0,1,0.19733,0.06599,2253,57.05572,39.48771,0.56218,0.38011,0.27743,0.54108
13103030304,103,0.01474,1,0.97812,0,0.06955,0,0.13104,0,0.06125,0,0.01514,1,0.16614,0,0.0431,0,0.76006,0,0.12048,0,0.4412,0,0.11518,0.08053,7314,29.29414,249.67453,0.50049,0.27393,0.28055,0.44506
13103030305,103,0.03191,0,0.96023,0,0.09249,0,0.05176,0,0.06736,0,0.0298,0,0.14635,0,0.08856,0,0.68088,0,0.13008,0,0.0,1,0.15033,0.17353,7561,97.71053,77.38163,0.48989,0.28243,0.27532,0.44235
13103030401,103,0.01321,1,0.95484,0,0.15038,0,0.06229,0,0.13583,0,0.00521,1,0.05312,1,0.01708,1,0.91938,0,0.08668,0,0.16192,0,0.05632,0.09636,4758,80.72546,58.94051,0.466,0.60522,0.51124,0.46088
13103030402,103,0.00181,1,0.97382,0,0.0999,0,0.09046,1,0.05176,0,0.0093,1,0.04245,1,0.0153,1,0.90234,0,0.11526,0,0.06255,0,0.05674,0.12471,5277,63.56075,83.02294,0.5186,0.6144,0.47866,0.51618
