,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,358760359,2005,post_office,Clyo Post Office,-81.2684396000,32.4835175000,-81.26844,32.48352
1,358760388,2005,post_office,Guyton Post Office,-81.3914993000,32.3335269000,-81.3915,32.33353
2,358760456,2005,post_office,Springfield Post Office,-81.3120543000,32.3707466000,-81.31205,32.37075
3,358760458,2005,post_office,Stillwell Post Office,-81.2512211000,32.3776907000,-81.25122,32.37769
4,367912975,2009,courthouse,Effingham County Courthouse,-81.3142764000,32.3732464000,-81.31428,32.37325
5,367913760,2007,library,Live Oak Public Library System Effingham County Branch,-81.3316000000,32.3612000000,-81.3316,32.3612
6,367914271,2001,police,Effingham County Sheriff's Department,-81.3694000000,32.2188000000,-81.3694,32.2188
7,367914967,2008,town_hall,Guyton Town Hall,-81.3914993000,32.3332492000,-81.3915,32.33325
8,367914970,2008,town_hall,Rincon Town Hall,-81.2365017000,32.2943624000,-81.2365,32.29436
9,367914978,2008,town_hall,Springfield City Hall,-81.3123321000,32.3710243000,-81.31233,32.37102
10,358760369,2005,post_office,Eden Post Office,-81.3881678000,32.1704797000,-81.38817,32.17048
11,358760414,2005,post_office,Meldrim Post Office,-81.3784457000,32.1427027000,-81.37845,32.1427
