idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
116,-84.66457,33.53287,0.7525,0.90949,0.43777,0.55352,0.0,0.48681,0.81079,0.70702,0.58407,0.51524,0.56921,0.92859,0.57244,0.59852
378,-84.56081,33.57639,0.90881,0.68928,0.67874,0.41032,0.94254,0.6106,0.88918,0.75894,0.70035,0.6983,0.21528,0.79002,0.59829,0.58514
429,-84.48276,33.58391,0.82224,0.98552,0.53214,0.38304,0.83801,0.60506,0.28009,0.37978,0.65888,0.67602,0.44254,0.99492,0.59313,0.58916
693,-84.49175,33.63401,0.1203,0.78025,0.0,0.78366,0.0,0.94936,0.53707,0.57694,0.67609,0.54753,0.40608,0.49689,0.48575,0.5097
782,-84.61349,33.65491,0.98552,0.90183,0.43678,0.11264,0.0,0.64812,0.24735,0.44209,0.20209,0.13281,0.0545,0.99886,0.32854,0.35064
975,-84.48342,33.69134,0.36431,0.78025,0.4389,0.88607,0.84354,0.83664,0.0,0.23954,0.84756,0.63319,0.60082,0.89099,0.64355,0.64126
1002,-84.53561,33.69827,0.86333,0.94694,0.39835,0.37189,0.83126,0.84892,0.07641,0.12705,0.55882,0.39206,0.19337,0.98173,0.47407,0.47597
1018,-84.39655,33.69883,0.31178,0.92253,0.50819,0.86825,0.0,0.93807,0.17291,0.10264,0.85112,0.17541,0.90411,0.5852,0.59475,0.62733
1136,-84.44886,33.72728,0.61985,0.84642,0.41563,0.73006,0.7591,0.80018,0.10559,0.34309,0.72029,0.51031,0.54563,0.98317,0.59152,0.58114
1195,-84.41416,33.74173,0.1466,0.0,0.0,0.99666,0.81375,0.8233,0.27297,0.09059,0.96794,0.26395,0.84066,0.39168,0.54933,0.53454
1226,-84.37072,33.74904,0.15411,0.86082,0.0,0.2077,0.0,0.20982,0.64077,0.34801,0.09938,0.07429,0.80215,0.99454,0.4358,0.45248
1236,-84.50121,33.75571,0.22256,0.78025,0.0,0.99272,0.92025,0.92185,0.55003,0.36431,0.9978,0.90259,0.26471,0.58437,0.6307,0.61603
1267,-84.44037,33.76312,0.18072,0.74727,0.64842,0.97408,0.0,0.99068,0.27001,0.18557,0.94307,0.88834,0.8888,0.73196,0.61077,0.62507
1324,-84.35345,33.77774,0.4768,0.94618,0.93777,0.66631,0.0,0.10832,0.69353,0.24977,0.45179,0.31656,0.90888,0.95823,0.5505,0.55691
1344,-84.37959,33.78481,0.49052,0.90381,0.99522,0.58619,0.0,0.32808,0.4812,0.4242,0.26888,0.03358,0.51743,0.9834,0.47166,0.48828
1440,-84.37106,33.82064,0.48734,0.68928,0.96884,0.52782,0.77047,0.05299,0.8612,0.82209,0.61795,0.93511,0.69156,0.94663,0.67904,0.66576
1464,-84.42336,33.83478,0.37887,0.68928,0.43155,0.60946,0.0,0.20353,0.44239,0.17473,0.15343,0.08172,0.6178,0.96278,0.35494,0.36702
1483,-84.37986,33.84209,0.30951,0.95763,0.0,0.60188,0.89198,0.05071,0.29548,0.74704,0.41654,0.83611,0.68746,0.66495,0.5181,0.50188
1551,-84.38875,33.87786,0.11628,0.0,0.65532,0.08285,0.0,0.16586,0.24333,0.51683,0.07035,0.01008,0.24068,0.46399,0.22328,0.23016
1616,-84.36278,33.91374,0.708,0.74727,0.69216,0.71513,0.0,0.28404,0.91169,0.90335,0.49992,0.54093,0.62591,0.85423,0.57468,0.59408
1672,-84.36298,33.9567,0.25948,0.96051,0.46066,0.08952,0.7074,0.05617,0.86681,0.87159,0.40729,0.6623,0.41935,0.97961,0.5016,0.49521
1700,-84.33688,33.97109,0.40547,0.78025,0.47976,0.14971,0.81769,0.14145,0.43875,0.55064,0.19648,0.82307,0.3424,0.96945,0.4489,0.43818
1836,-84.19745,34.01437,0.70414,0.96634,0.67867,0.19171,0.71604,0.38281,0.56208,0.85923,0.03017,0.3678,0.1867,0.98893,0.46459,0.46743
1853,-84.27601,34.02136,0.73613,0.98363,0.61568,0.03586,0.0,0.30367,0.77592,0.84422,0.22339,0.45838,0.26986,0.95937,0.42274,0.44897
1906,-84.34589,34.03549,0.56542,0.91146,0.45929,0.22377,0.77843,0.35256,0.62644,0.45664,0.31769,0.0639,0.3117,0.83369,0.44804,0.44312
1999,-84.17135,34.0502,0.80807,0.90381,0.39926,0.03055,0.0,0.16988,0.55814,0.88857,0.19254,0.43223,0.32861,0.99469,0.4042,0.42073
2029,-84.23248,34.05725,0.42063,0.9668,0.37295,0.42655,0.0,0.11977,0.79904,0.90995,0.17511,0.156,0.19247,0.82542,0.36808,0.38659
2068,-84.18885,34.06449,0.71953,0.93314,0.73302,0.18435,0.68216,0.22233,0.67147,0.96452,0.33088,0.30352,0.57542,0.99856,0.54413,0.5493
2130,-84.41599,34.08537,0.62978,0.0,0.0,0.14607,0.79821,0.21301,0.39099,0.05602,0.00705,0.33763,0.99454,0.4195,0.42106,0.41335
2154,-84.20637,34.08593,0.51675,0.74727,0.77191,0.21399,0.60802,0.40115,0.70475,0.83793,0.37856,0.00379,0.31398,0.8634,0.44223,0.43967
2166,-84.33741,34.09278,0.85324,0.97112,0.37447,0.03055,0.0,0.04063,0.42511,0.63592,0.04541,0.21612,0.08293,0.87318,0.26992,0.28393
2173,-84.27627,34.09294,0.87007,0.97931,0.36098,0.12113,0.78699,0.27289,0.91828,0.8631,0.44049,0.203,0.53813,0.99098,0.5017,0.49754
