idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
1354,-82.0732,33.47719,0.40107,0.82081,0.85744,0.06445,0.45291,0.24469,0.0648,0.78262,0.51356,0.51512,0.27976,0.97356,0.49793,0.50562
115,-81.98341,33.26067,0.51909,0.0,0.53171,0.51115,0.63383,0.73648,0.07897,0.29722,0.59997,0.54709,0.93503,0.90738,0.57574,0.56805
116,-81.97477,33.26052,0.51909,0.84794,0.52341,0.51115,0.63383,0.73648,0.07897,0.29722,0.59997,0.54709,0.93503,0.97062,0.64146,0.64604
239,-82.13844,33.28479,0.58389,0.0,0.54087,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.48212,0.90617,0.47045,0.45419
287,-82.20743,33.29306,0.58389,0.0,0.62243,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,1.0,0.59703,0.62006,0.62027
288,-82.19879,33.29292,0.58389,0.0,0.62191,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,1.0,0.5222,0.61626,0.61699
295,-82.13827,33.29196,0.58389,0.0,0.87973,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.48212,0.43736,0.48936,0.47645
344,-82.20727,33.30022,0.58389,0.0,0.5381,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,1.0,0.95784,0.61851,0.61727
345,-82.19862,33.30009,0.58389,0.0,0.53015,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.99326,0.95524,0.61649,0.61526
357,-82.09488,33.29841,0.58389,0.0,0.55988,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.48212,0.94902,0.46645,0.44848
416,-82.0947,33.30557,0.25816,0.96907,0.50786,0.54208,0.49922,0.80456,0.6798,0.37671,0.45429,0.40798,0.48212,0.99309,0.5776,0.57901
468,-82.16371,33.31386,0.58389,0.0,0.5559,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.9841,0.45602,0.54676,0.54659
469,-82.15506,33.31373,0.58389,0.0,0.54329,0.60359,0.35822,0.28927,0.63988,0.33679,0.41438,0.61621,0.15777,0.93969,0.39798,0.37951
476,-82.09453,33.31274,0.25816,0.96026,0.55486,0.54208,0.49922,0.80456,0.6798,0.37671,0.45429,0.40798,0.48212,0.79523,0.58139,0.58548
527,-82.16354,33.32103,0.25816,0.0,0.53188,0.54208,0.49922,0.80456,0.6798,0.37671,0.45429,0.40798,0.15587,0.93468,0.43948,0.42635
528,-82.15489,33.32089,0.25816,0.0,0.53188,0.54208,0.49922,0.80456,0.6798,0.37671,0.45429,0.40798,0.15587,0.93468,0.43948,0.42635
535,-82.09436,33.3199,0.25816,0.84794,0.52722,0.54208,0.49922,0.80456,0.6798,0.37671,0.45429,0.40798,0.4619,0.91844,0.57071,0.5721
544,-82.01653,33.31858,0.72456,0.82081,0.5775,0.05029,0.29393,0.61258,0.79661,0.4009,0.34007,0.34336,0.94971,0.86591,0.58778,0.61168
600,-82.01635,33.32574,0.72456,0.0,0.64714,0.05029,0.29393,0.61258,0.79661,0.4009,0.34007,0.34336,0.601,0.67842,0.41723,0.41227
738,-82.09366,33.34855,0.94626,0.0,0.0,0.46276,0.39813,0.82875,0.49749,0.10109,0.28253,0.67427,0.00778,0.99551,0.29291,0.28192
783,-82.09349,33.35572,0.94626,0.95715,0.57525,0.46276,0.39813,0.82875,0.49749,0.10109,0.28253,0.67427,0.00726,0.99844,0.43656,0.4399
793,-82.00698,33.35425,0.62381,0.99603,0.56299,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.83705,0.99706,0.60257,0.61649
794,-81.99833,33.3541,0.62381,0.0,0.59271,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.33575,0.84379,0.45634,0.4449
832,-82.0241,33.36171,0.62381,0.99603,0.56299,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.83705,0.99706,0.60257,0.61649
870,-82.04122,33.36917,0.7033,0.97149,0.54813,0.68861,0.70883,0.89062,0.78383,0.51996,0.63021,0.36185,0.2224,0.99568,0.58934,0.59233
871,-82.03257,33.36902,0.62381,0.82081,0.50942,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.23743,0.89926,0.49133,0.50118
872,-82.02392,33.36887,0.62381,0.96734,0.52618,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.23847,0.83809,0.50029,0.51251
875,-81.99796,33.36842,0.62381,0.99603,0.56299,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.83705,0.99706,0.60257,0.61649
906,-82.07566,33.37692,0.94626,0.98704,0.62623,0.46276,0.39813,0.82875,0.49749,0.10109,0.28253,0.67427,0.00812,0.99067,0.44315,0.44662
907,-82.06701,33.37677,0.69535,0.99326,0.62174,0.0318,0.35027,0.57474,0.39243,0.82046,0.01607,0.31934,0.12649,1.0,0.41341,0.42914
910,-82.04105,33.37633,0.69535,0.99326,0.62174,0.0318,0.35027,0.57474,0.39243,0.82046,0.01607,0.31934,0.12649,1.0,0.41341,0.42914
915,-81.99778,33.37558,0.62381,0.0,0.49784,0.39036,0.46708,0.63107,0.61863,0.43719,0.57871,0.12926,0.84275,0.89165,0.51507,0.51489
940,-82.11876,33.3848,0.23138,0.91965,0.60308,0.39952,0.0,0.7954,0.20805,0.55832,0.52773,0.60705,0.27182,0.95715,0.49673,0.51697
978,-82.11859,33.39196,0.23138,0.0,0.0,0.39952,0.0,0.7954,0.20805,0.55832,0.52773,0.60705,0.27216,0.28529,0.31572,0.32747
980,-82.10128,33.39167,0.17384,0.91965,0.61379,0.02385,0.40867,0.69311,0.02834,0.27527,0.3202,0.58821,0.05167,0.99672,0.41611,0.42441
981,-82.09262,33.39153,0.71609,0.98911,0.58649,0.64628,0.52341,0.58269,0.77536,0.94211,0.31173,0.59858,0.11699,0.99931,0.55481,0.56041
985,-82.058,33.39095,0.69535,0.99326,0.62174,0.0318,0.35027,0.57474,0.39243,0.82046,0.01607,0.31934,0.12649,1.0,0.41341,0.42914
