name,address,lat,lon
,"4550 HIGHWAY 20 SOUTH CONYERS, GA 30013-0000",33.55092,-84.01688
,"1400 HIGHWAY 212, SE CONYERS, GA 30094-0000",33.55313,-84.03591
,"301 HONEY CREEK ROAD CONYERS, GA 30094-0000",33.59298,-84.03479
,"3601 UNION CHURCH ROAD STOCKBRIDGE, GA 30281-0000",33.59365,-84.13818
,"2900 SALEM ROAD SE CONYERS, GA 30013",33.61181,-83.97244
,"2621 HIGHWAY 20 SE CONYERS, GA 30013-2424",33.61971,-84.0163
,"2987 HIGHWAY 212, SW CONYERS, GA 30094-0000",33.62425,-84.08024
,"2533 STANTON ROAD CONYERS, GA 30094-0000",33.6253,-84.03735
,"1410 FLAT SHOALS ROAD SE CONYERS, GA 30013-0000",33.63794,-83.99893
,"1877 IRIS DR., SE CONYERS, GA 30013",33.63989,-83.9893
,"1295 SMYRNA ROAD CONYERS, GA 30094-0000",33.65583,-84.05197
,"1522 HIGHWAY 138 NE CONYERS, GA 30013-0000",33.66178,-83.99681
,"921 NORTH MAIN STREET CONYERS, GA 30012-0000",33.67008,-84.01835
,"2570 OLD COVINGTON HWY CONYERS, GA 30012-0000",33.69488,-84.07133
,"2460 HIGHWAY 138 NE CONYERS, GA 30013-0000",33.70326,-83.94134
,"3676 HIGHWAY 20 NE CONYERS, GA 30012-0000",33.7424,-83.99177
