idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
80,-85.17224,32.8818,0.70185,0.93448,0.0,0.86148,0.0,0.77265,0.0,0.05013,0.6759,0.0299,1.0,0.76737,0.54866,0.57623
282,-85.12114,32.91816,0.70185,0.99296,0.45295,0.86148,0.0,0.77265,0.0,0.05013,0.6759,0.0299,0.91117,0.99824,0.58968,0.61482
542,-84.94956,32.96274,0.45558,0.0,0.53606,0.43887,0.71152,0.54046,0.92788,0.73395,0.29244,0.74142,0.49164,0.91161,0.49562,0.47188
821,-85.0277,33.01224,0.45558,0.91689,0.53826,0.43887,0.71152,0.54046,0.92788,0.73395,0.29244,0.74142,0.781,0.83113,0.73738,0.74579
900,-85.07097,33.02618,0.20361,0.0,0.0,0.66007,0.88215,0.61302,0.71724,0.80651,0.55629,0.56376,0.69349,0.49692,0.49559,0.48081
904,-85.0365,33.0265,0.1482,0.0,0.84081,1.0,0.94503,0.71724,0.37247,0.6372,0.94503,0.81398,0.69349,0.47801,0.63129,0.60911
939,-85.09692,33.0331,0.20361,0.0,0.61653,0.66007,0.88215,0.61302,0.71724,0.80651,0.55629,0.56376,0.4956,0.81618,0.56007,0.53603
991,-85.01083,33.04107,0.37247,0.0,0.63061,0.94459,0.62841,0.91733,0.78012,0.55409,0.82058,0.36368,0.72823,0.93272,0.6976,0.69296
995,-84.97636,33.04137,0.37247,0.9934,0.0,0.94459,0.62841,0.91733,0.78012,0.55409,0.82058,0.36368,0.22647,0.88566,0.57776,0.57917
1072,-85.03688,33.05517,0.52814,0.88434,0.94943,0.7168,0.78408,0.25726,0.42788,0.86939,0.61917,0.86939,0.06288,0.92568,0.6008,0.58894
1115,-85.03697,33.06234,0.52814,0.98197,0.78408,0.7168,0.78408,0.25726,0.42788,0.86939,0.61917,0.86939,0.1504,0.99077,0.58932,0.57634
1162,-85.00258,33.06981,0.92612,0.90018,0.71548,0.29815,0.55409,0.18294,0.48461,0.92612,0.48197,0.92612,0.34081,0.97318,0.61331,0.62079
1258,-84.91653,33.08487,0.92612,0.0,0.55981,0.29815,0.55409,0.18294,0.48461,0.92612,0.48197,0.92612,0.27661,0.36368,0.48434,0.47675
1506,-85.03782,33.12684,0.11829,0.84565,0.55937,0.0796,0.0,0.39358,0.34257,0.52419,0.06816,0.0,0.21416,0.91865,0.36416,0.388
1770,-84.91761,33.17804,0.58487,0.98065,0.6482,0.59719,0.37247,0.42348,0.60026,0.40721,0.365,0.44679,0.87423,0.84081,0.62869,0.63761
